Hito [UY895619255],Fecha y Hora,Ubicación,Nota
Primer calostro,2025-01-21 09:09,Corral o potrero,Asegurar calostrado.
Nacimiento,2025-01-21 18:28,Potrero / corral de maternidad,Registro del nacimiento.
Colocacion de caravana oficial,2025-01-22 09:11,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2025-01-22 13:16,Instalaciones sanitarias,Revision sanitaria inicial.
Separacion de la madre,2025-01-23 13:31,Corral de terneros / guachera,Separacion para manejo individual.
Ingreso al sistema (SNIG),2025-01-26 17:29,Oficina / app,Registro del nacimiento.
Guachera (cria artificial),2025-01-30 17:55,Guachera,Cria artificial y control sanitario.
Vacunas iniciales,2025-02-01 07:57,Manga / campo,Plan sanitario local.
Revision general de salud,2025-02-04 06:28,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2025-02-25 17:35,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-03-22 14:52,Potrero 2 (7654321-12003),Vacunacion clostridial
Destete,2025-03-26 07:22,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2025-04-21 10:36,Potrero 2 (7654321-12003),Vacunacion clostridial
Desparasitacion,2025-04-21 16:37,Potrero 2 (7654321-12003),Antiparasitario programado.
Recria,2025-05-14 09:55,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2025-07-02 08:53,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2025-10-18 09:37,Potrero 2 (7654321-12003),Antiparasitario programado.
Primer Celo,2025-12-12 08:47,Potrero 2 (7654321-12003),Primer celo detectado.
